#{"t_start": 1640165250.3634145, "env_id": "SwimmerEnv-v0"}
r,l,t
2.876053,1,11.301449
1.52167,1,23.460339
0.881599,1,35.523289
2.670342,1,47.888707
4.70302,1,60.065001
1.080152,1,72.397614
1.083734,1,84.563949
1.584353,1,96.675534
1.520749,1,108.775892
1.726761,1,120.967829
0.963291,1,133.06852
1.32037,1,145.257265
1.112065,1,157.351608
0.0,1,169.446521
0.0,1,181.526152
0.0,1,193.674489
4.416605,1,205.738524
1.841992,1,217.822312
2.968773,1,229.841138
1.505635,1,242.009825
1.12559,1,254.106417
1.680957,1,266.299807
1.642811,1,278.40874
1.045395,1,290.627603
1.809812,1,302.695498
0.0,1,314.754447
0.0,1,326.797344
0.0,1,338.890289
0.0,1,350.99407
0.0,1,363.135921
0.0,1,375.225404
0.0,1,387.349275
0.0,1,399.420124
0.0,1,411.565589
0.0,1,423.662556
0.0,1,435.799122
0.0,1,447.948105
0.0,1,460.142796
0.0,1,472.25939
0.0,1,484.330361
6.012749,1,496.386182
1.220818,1,508.406112
2.204932,1,520.420438
1.205084,1,532.428609
1.914316,1,544.518421
0.0,1,556.562418
0.0,1,568.677445
0.0,1,580.778466
0.618203,1,592.873938
0.911052,1,605.029089
0.911052,1,617.12396
0.911052,1,629.26944
0.002218,1,641.434425
0.0,1,653.545915
0.0,1,665.659706
0.0,1,677.726375
0.0,1,689.754943
0.0,1,701.745535
0.0,1,713.785487
0.0,1,725.891364
6.667733,1,737.985574
1.592012,1,750.014794
1.432238,1,762.075164
0.914768,1,774.167811
1.016792,1,786.212732
0.0,1,798.310526
0.0,1,810.355339
0.0,1,822.599821
0.0,1,834.733969
0.0,1,846.958283
0.0,1,859.077299
0.0,1,871.447239
2.842121,1,883.577203
0.548421,1,895.760415
0.879943,1,907.862679
1.210446,1,920.084159
1.920226,1,932.18665
1.863932,1,944.433067
1.448453,1,956.574695
1.41554,1,968.857846
5.721335,1,980.966107
1.741887,1,993.189099
1.528488,1,1005.290814
1.332969,1,1017.456771
1.987128,1,1029.561792
1.125767,1,1041.72159
1.270523,1,1053.813681
2.45813,1,1065.845436
1.299493,1,1077.817108
0.636075,1,1089.828257
0.975329,1,1101.852458
1.119576,1,1113.887444
1.069028,1,1125.915318
0.0,1,1137.977308
0.0,1,1150.071138
0.0,1,1162.205449
4.125948,1,1174.245842
1.516687,1,1186.393342
1.469999,1,1198.47779
2.084043,1,1210.631738
2.73545,1,1222.695482
0.0,1,1234.985096
0.0,1,1247.213709
0.0,1,1259.509968
3.723446,1,1271.609766
1.442584,1,1283.784078
1.334731,1,1295.843691
2.329974,1,1308.026651
2.140038,1,1320.096392
0.0,1,1332.171325
0.0,1,1344.279465
0.0,1,1356.446149
0.273133,1,1368.505752
0.272852,1,1380.587577
0.272852,1,1392.653438
0.272852,1,1404.734659
6.542806,1,1416.797549
0.857871,1,1428.863008
1.605192,1,1440.949382
1.619402,1,1453.119597
0.794765,1,1465.14723
0.167573,1,1477.242836
0.167573,1,1489.308754
0.167573,1,1501.352761
0.241768,1,1513.345552
0.371065,1,1525.313148
0.371065,1,1537.353725
0.371065,1,1549.368041
3.109768,1,1561.385498
1.372968,1,1573.373781
1.372968,1,1585.40221
1.372968,1,1597.430435
1.757196,1,1609.486741
1.75209,1,1621.516722
1.751916,1,1633.578353
1.751916,1,1645.61662
0.942658,1,1657.653338
1.629117,1,1669.712936
2.134452,1,1681.803935
2.536699,1,1693.848521
2.48165,1,1705.840779
0.0,1,1717.921255
0.0,1,1729.999939
0.0,1,1742.093916
0.0,1,1754.118926
0.0,1,1766.229029
0.0,1,1778.294491
0.0,1,1790.407413
0.957845,1,1802.438007
0.956152,1,1814.509495
0.956152,1,1826.581273
0.956152,1,1838.683265
7.232634,1,1850.70855
1.632101,1,1862.803959
2.761601,1,1874.885466
1.937521,1,1887.059433
0.534981,1,1899.147011
1.070067,1,1911.222369
1.070067,1,1923.327533
1.070067,1,1935.478608
0.002748,1,1947.522939
0.0,1,1959.622305
0.0,1,1971.709291
0.0,1,1983.78227
0.0,1,1995.823567
0.0,1,2007.923837
0.0,1,2019.987275
0.0,1,2032.205293
0.879796,1,2044.251302
1.268851,1,2056.383373
1.268851,1,2068.46226
1.268851,1,2080.513018
0.003499,1,2092.540944
0.0,1,2104.678346
0.0,1,2116.832348
0.0,1,2128.999416
0.0,1,2141.073949
0.0,1,2153.167782
0.0,1,2165.227039
0.0,1,2177.278425
4.942423,1,2189.297219
1.4476,1,2201.361296
1.965937,1,2213.47063
1.369236,1,2225.51488
0.597198,1,2237.576433
1.56626,1,2249.666742
1.56626,1,2261.77261
1.56626,1,2273.757981
0.397153,1,2285.76228
0.0,1,2297.818781
0.0,1,2309.91638
0.0,1,2322.079094
0.0,1,2334.09535
0.0,1,2346.227287
0.0,1,2358.265397
0.0,1,2370.29951
0.0,1,2382.335186
0.0,1,2394.411561
0.0,1,2406.47022
0.0,1,2418.514199
4.168379,1,2430.488894
1.655115,1,2442.718073
2.421775,1,2454.883889
1.825843,1,2467.145924
0.980348,1,2479.288612
1.777489,1,2491.325564
1.778782,1,2503.421854
1.778783,1,2515.451635
1.68658,1,2527.478575
4.051944,1,2539.580049
6.621359,1,2551.642053
1.261214,1,2563.71689
0.937816,1,2575.760652
0.0,1,2587.875477
0.0,1,2599.949788
0.0,1,2612.058811
1.603181,1,2624.117573
1.771462,1,2636.25687
1.771515,1,2648.246832
1.771515,1,2660.4493
0.747419,1,2672.561706
0.743677,1,2684.880874
0.743677,1,2697.042215
0.743677,1,2709.334881
3.535089,1,2721.466483
1.824922,1,2733.544002
2.462797,1,2745.582244
1.807942,1,2757.639879
1.910205,1,2769.742137
1.522617,1,2781.947419
1.452647,1,2794.035997
1.441336,1,2806.145685
0.97462,1,2818.205438
1.400643,1,2830.263541
1.400643,1,2842.320832
1.400643,1,2854.310182
2.602088,1,2866.349447
1.503835,1,2878.402641
0.776116,1,2890.447575
1.050567,1,2902.712795
2.235828,1,2914.854648
0.637846,1,2927.167541
0.637846,1,2939.291389
0.637846,1,2951.509492
1.665882,1,2963.646199
0.855398,1,2975.779998
3.455621,1,2987.885977
1.189807,1,2999.952061
1.978177,1,3012.009085
0.0,1,3024.087339
0.0,1,3036.169653
0.0,1,3048.261771
1.825722,1,3060.383716
1.812851,1,3072.477432
1.812851,1,3084.595769
1.812851,1,3096.708441
2.663705,1,3108.798216
2.080852,1,3120.889969
1.636499,1,3132.933438
3.087382,1,3145.207457
0.481549,1,3157.351541
0.0,1,3169.488493
0.0,1,3181.560608
0.0,1,3193.726545
4.299631,1,3205.798231
4.597086,1,3217.950742
2.042131,1,3230.029967
1.33191,1,3242.095651
1.242483,1,3254.157041
0.0,1,3266.230972
0.0,1,3278.33113
0.0,1,3290.468318
0.0,1,3302.505296
0.0,1,3314.543482
0.0,1,3326.565884
0.0,1,3338.666039
0.896915,1,3350.754493
1.292311,1,3362.896586
1.292311,1,3374.975885
1.292311,1,3387.114876
1.899892,1,3399.154239
1.890825,1,3411.282609
1.890825,1,3423.351031
1.890825,1,3435.395345
0.591967,1,3447.441087
0.0,1,3459.465729
0.0,1,3471.5144
0.0,1,3483.592116
0.0,1,3495.681068
0.0,1,3507.763944
0.0,1,3519.891718
0.0,1,3532.002332
3.761685,1,3544.062905
1.752879,1,3556.228013
1.662499,1,3568.362956
2.408361,1,3580.472873
5.193724,1,3592.557636
0.143923,1,3604.597441
0.143923,1,3616.722942
0.143923,1,3628.782876
1.580648,1,3640.836434
1.758607,1,3652.879825
1.758642,1,3664.976529
1.758642,1,3677.053752
4.708824,1,3689.087981
1.489176,1,3701.281162
1.543345,1,3713.428377
1.663628,1,3725.669509
0.935606,1,3737.792801
0.0,1,3749.856353
0.0,1,3761.932661
0.0,1,3774.095538
0.8741,1,3786.159349
0.393377,1,3798.249751
0.393383,1,3810.353052
0.393383,1,3822.525187
0.00156,1,3834.627995
0.0,1,3846.80787
0.0,1,3858.929198
0.0,1,3871.118426
0.0,1,3883.218538
0.0,1,3895.361756
0.0,1,3907.51896
0.0,1,3919.773779
0.0,1,3931.929788
0.0,1,3944.249248
0.0,1,3956.452231
0.0,1,3968.625392
5.11194,1,3980.708718
0.977193,1,3992.839328
1.077851,1,4004.944103
1.558786,1,4017.07312
1.49773,1,4029.140141
0.14576,1,4041.223562
0.14576,1,4053.311798
0.14576,1,4065.400683
4.027349,1,4077.431062
0.68837,1,4089.648434
0.882623,1,4101.796816
2.430903,1,4114.020097
1.324203,1,4126.133488
0.0,1,4138.39845
0.0,1,4150.575492
0.0,1,4162.739653
3.836892,1,4174.756793
1.398426,1,4186.834461
0.997197,1,4198.909074
2.195632,1,4211.679875
0.595741,1,4224.649426
1.583416,1,4237.64645
1.583485,1,4250.649353
1.583485,1,4263.623796
6.058268,1,4276.596868
1.335604,1,4289.638644
0.973081,1,4302.695488
0.721308,1,4315.765446
1.489838,1,4328.840342
1.447731,1,4342.052755
1.447735,1,4355.1481
1.447735,1,4368.269669
3.651693,1,4381.281696
1.516862,1,4394.278689
2.690465,1,4407.2677
1.831397,1,4420.273199
1.975338,1,4433.257031
2.360652,1,4446.314705
2.368344,1,4459.361724
1.233585,1,4472.345979
3.982975,1,4485.35068
0.0,1,4498.40979
0.0,1,4511.411109
0.0,1,4524.539555
3.723815,1,4537.589279
5.239218,1,4550.891445
5.126341,1,4563.988523
2.053514,1,4577.256459
1.042738,1,4590.360575
0.0,1,4602.956342
0.0,1,4615.092057
0.0,1,4627.196683
3.303037,1,4639.276062
1.75765,1,4651.398248
1.757625,1,4663.491689
1.757625,1,4675.55985
0.15116,1,4687.612026
1.205694,1,4699.75914
2.831112,1,4711.886842
1.565059,1,4724.009135
0.968703,1,4736.155206
0.0,1,4748.315138
0.0,1,4760.477397
0.0,1,4772.710579
0.464679,1,4784.819247
0.46411,1,4796.962317
0.46411,1,4809.044529
0.46411,1,4821.077281
2.689835,1,4833.141289
1.717427,1,4845.19597
1.426227,1,4857.273094
1.020212,1,4869.296511
3.271614,1,4881.339193
1.139038,1,4893.390597
1.139038,1,4905.42357
1.139038,1,4917.455533
0.242558,1,4929.55218
0.0,1,4941.707906
0.0,1,4953.848362
0.0,1,4965.95599
3.894808,1,4978.102313
1.503207,1,4990.281248
1.586305,1,5002.39023
1.703055,1,5014.444517
3.047977,1,5026.565308
0.0,1,5038.640075
0.0,1,5050.750818
0.0,1,5062.8325
8.187303,1,5074.932914
2.792662,1,5087.015805
3.430923,1,5099.06785
2.442376,1,5111.109015
1.402912,1,5123.221504
1.709709,1,5135.357419
2.448271,1,5147.478391
1.4571,1,5159.728027
2.13609,1,5171.848186
0.0,1,5184.148228
0.0,1,5196.242197
0.0,1,5208.537374
0.0,1,5220.70848
0.0,1,5233.065085
0.0,1,5245.250468
0.0,1,5257.518765
9.21805,1,5269.625868
3.315565,1,5281.684527
2.204694,1,5293.741879
2.500538,1,5305.774519
2.696515,1,5317.900234
1.405637,1,5330.076052
1.405637,1,5342.193835
1.405637,1,5354.336476
4.350643,1,5366.417164
2.761345,1,5378.614554
1.399008,1,5390.685618
1.577196,1,5402.721101
1.390327,1,5414.766014
0.0,1,5426.833297
0.0,1,5438.912631
0.0,1,5451.168613
1.076603,1,5463.290581
1.510359,1,5475.461632
1.510359,1,5487.536563
1.510359,1,5499.729283
0.37312,1,5511.877369
0.0,1,5524.003932
0.0,1,5536.109668
0.0,1,5548.256667
0.0,1,5560.378143
0.0,1,5572.561353
0.0,1,5584.647773
0.0,1,5596.816241
3.794409,1,5609.000597
2.160473,1,5621.170708
1.403539,1,5633.294251
1.478445,1,5645.375079
2.716747,1,5657.415533
0.0,1,5669.511541
0.0,1,5681.558107
0.0,1,5693.654685
1.397105,1,5705.745816
1.393678,1,5717.841012
1.393678,1,5729.942035
1.393678,1,5742.059346
2.980104,1,5754.1035
1.152425,1,5766.181976
1.152425,1,5778.224667
1.152425,1,5790.32056
1.028812,1,5802.381398
1.207326,1,5814.569198
3.450209,1,5826.665657
1.319735,1,5838.763617
1.211522,1,5850.831397
0.0,1,5862.838282
0.0,1,5874.888691
0.0,1,5886.88023
0.173238,1,5898.882151
0.280809,1,5910.859379
0.280809,1,5922.855118
0.280809,1,5934.961606
3.332386,1,5947.018936
1.75068,1,5959.150048
1.75068,1,5971.216938
1.75068,1,5983.253513
0.417176,1,5995.296777
0.396491,1,6007.38909
0.396487,1,6019.460761
0.396487,1,6031.586068
1.985205,1,6043.608154
0.0,1,6055.783093
0.0,1,6067.832038
0.0,1,6080.029476
0.0,1,6092.113999
0.0,1,6104.089355
0.0,1,6116.229708
0.0,1,6128.344757
0.0,1,6140.404879
0.0,1,6152.558204
0.0,1,6164.681621
0.0,1,6176.887439
0.0,1,6189.026114
0.0,1,6201.191754
0.0,1,6213.308654
0.0,1,6225.548061
1.9972,1,6237.657618
1.866105,1,6249.757809
0.727993,1,6261.839108
0.992918,1,6273.979794
1.135316,1,6286.081704
0.332049,1,6298.145971
0.332049,1,6310.225596
0.332049,1,6322.359362
3.127733,1,6334.421328
1.947623,1,6346.477434
2.197495,1,6358.502208
1.283866,1,6370.521462
1.133813,1,6382.564781
1.478813,1,6394.676121
1.478815,1,6406.763389
1.478815,1,6418.889261
3.594885,1,6430.966627
0.356482,1,6443.059603
1.115374,1,6455.169413
0.465457,1,6467.215592
1.349803,1,6479.266975
0.0,1,6491.341908
0.0,1,6503.371969
0.0,1,6515.573915
1.243091,1,6527.619008
1.240401,1,6539.718627
1.240401,1,6551.803531
1.240401,1,6563.877439
0.274185,1,6575.95425
0.0,1,6587.960116
0.0,1,6600.070488
0.0,1,6612.142358
0.0,1,6624.159497
0.0,1,6636.311718
0.0,1,6648.38159
0.0,1,6660.580083
0.990471,1,6672.673256
1.186467,1,6684.686753
2.198971,1,6696.740576
1.100001,1,6708.805049
3.593234,1,6720.79654
2.643554,1,6732.811074
2.236273,1,6744.819245
1.39848,1,6756.907086
2.567909,1,6768.964038
3.022221,1,6781.059425
3.66526,1,6793.143594
2.676352,1,6805.308328
2.038873,1,6817.339682
1.029185,1,6829.457227
1.029185,1,6841.525978
1.029185,1,6853.728872
0.2109,1,6865.851289
0.0,1,6878.112711
0.0,1,6890.224974
0.0,1,6902.48604
1.010301,1,6914.613306
1.00845,1,6926.654711
1.00845,1,6938.707646
1.00845,1,6950.70737
0.002536,1,6962.698791
0.0,1,6974.742553
0.0,1,6986.815181
0.0,1,6998.907115
0.407539,1,7010.942143
0.407064,1,7023.051119
0.407064,1,7035.073892
0.407064,1,7047.20765
