#{"t_start": 1640165250.3643682, "env_id": "SwimmerEnv-v0"}
r,l,t
1.067315,1,14.315233
1.241113,1,26.515973
1.241113,1,38.536381
1.241113,1,51.013386
5.029775,1,63.072129
2.231078,1,75.513896
3.764334,1,87.570672
1.132777,1,99.723639
0.578407,1,111.789448
0.562008,1,124.02832
0.562008,1,136.071022
0.562008,1,148.317918
0.721618,1,160.374711
0.720308,1,172.478443
0.720308,1,184.54915
0.720308,1,196.727222
0.001648,1,208.748201
0.0,1,220.85183
0.0,1,232.854988
0.0,1,245.069248
2.457978,1,257.112791
1.114895,1,269.364697
1.776179,1,281.427819
1.777093,1,293.700135
0.401685,1,305.702504
0.0,1,317.773775
0.0,1,329.812072
0.0,1,341.932318
4.364636,1,354.011682
1.154876,1,366.161968
1.519573,1,378.241225
1.774379,1,390.384212
3.033883,1,402.426071
0.0,1,414.603941
0.0,1,426.694452
0.0,1,438.8545
3.520757,1,450.977608
2.155566,1,463.193097
2.324318,1,475.287986
1.618849,1,487.354935
0.642299,1,499.401113
0.0,1,511.400201
0.0,1,523.435033
0.0,1,535.438762
2.372578,1,547.528677
1.063867,1,559.571424
0.810163,1,571.71844
1.930554,1,583.810572
1.86299,1,595.885822
1.4519,1,608.094902
1.552957,1,620.144477
1.750316,1,632.324625
1.984408,1,644.465865
1.469801,1,656.572746
2.785393,1,668.692043
1.285004,1,680.738214
2.230754,1,692.757655
1.096503,1,704.745051
1.096503,1,716.823204
1.096503,1,728.938323
0.229997,1,740.995817
0.0,1,753.037596
0.0,1,765.092901
0.0,1,777.205384
4.055478,1,789.215213
1.091709,1,801.348397
1.343633,1,813.369275
0.884165,1,825.69047
1.156051,1,837.752312
0.0,1,850.046985
0.0,1,862.110474
0.0,1,874.571672
0.0,1,886.582078
0.0,1,898.836781
0.0,1,910.889849
0.0,1,923.150764
3.171523,1,935.1999
1.467576,1,947.515125
1.467576,1,959.606302
1.467576,1,971.939405
0.553116,1,983.979907
0.403752,1,996.273851
0.403752,1,1008.314417
0.403752,1,1020.519912
0.000832,1,1032.575731
0.0,1,1044.791069
0.0,1,1056.828338
0.0,1,1068.848481
0.974537,1,1080.810671
1.395084,1,1092.851204
1.395084,1,1104.865919
1.395084,1,1116.898757
0.004049,1,1128.92397
0.0,1,1141.000307
0.0,1,1153.117884
0.0,1,1165.236733
0.0,1,1177.264827
0.0,1,1189.450684
0.0,1,1201.509327
0.0,1,1213.68392
4.772335,1,1225.705383
2.752628,1,1238.099638
1.22611,1,1250.26782
1.398203,1,1262.598945
2.953109,1,1274.604641
2.182234,1,1286.84136
1.170338,1,1298.843545
0.661755,1,1311.076024
1.832659,1,1323.111302
1.770912,1,1335.197044
1.77091,1,1347.313668
1.77091,1,1359.49302
0.857858,1,1371.498736
0.0,1,1383.619463
0.0,1,1395.667027
0.0,1,1407.746042
0.0,1,1419.814605
0.0,1,1431.898913
0.0,1,1443.966321
0.0,1,1456.177617
5.600792,1,1468.147962
1.271607,1,1480.286854
2.869359,1,1492.321103
1.626458,1,1504.353044
2.960998,1,1516.345567
0.0,1,1528.316195
0.0,1,1540.360555
0.0,1,1552.368769
1.129137,1,1564.402612
1.31587,1,1576.384839
0.265988,1,1588.41281
0.293192,1,1600.439214
2.351886,1,1612.49523
0.558944,1,1624.527936
0.559014,1,1636.584137
0.559014,1,1648.616927
0.46549,1,1660.670215
1.136087,1,1672.725609
1.392783,1,1684.822413
2.05129,1,1696.856862
4.003177,1,1708.849879
1.120195,1,1720.952391
1.131383,1,1733.016192
1.131383,1,1745.116643
0.002968,1,1757.13008
0.0,1,1769.26715
0.0,1,1781.310702
0.0,1,1793.430991
0.0,1,1805.450767
0.0,1,1817.53854
0.0,1,1829.592397
0.0,1,1841.716554
0.615685,1,1853.706145
0.614834,1,1865.851195
0.614834,1,1877.887667
0.614834,1,1890.119231
1.021839,1,1902.16289
2.862168,1,1914.25491
1.271791,1,1926.345709
1.938743,1,1938.516384
3.214814,1,1950.526781
1.005883,1,1962.666736
1.755856,1,1974.716304
1.759012,1,1986.806981
1.327064,1,1998.833588
0.0,1,2010.967475
0.0,1,2022.990535
0.0,1,2035.273706
0.0,1,2047.248811
0.0,1,2059.431733
0.0,1,2071.46739
0.0,1,2083.530469
1.847641,1,2095.560971
1.837924,1,2107.726809
1.837924,1,2119.863257
1.837924,1,2132.047154
1.233504,1,2144.089307
1.228447,1,2156.200159
1.228447,1,2168.23307
1.228447,1,2180.293075
0.270323,1,2192.317311
0.0,1,2204.398145
0.0,1,2216.485542
0.0,1,2228.538838
0.403006,1,2240.603953
0.617573,1,2252.691824
0.617573,1,2264.799393
0.617573,1,2276.742641
0.001366,1,2288.782856
0.0,1,2300.82994
0.0,1,2312.942721
0.0,1,2325.107543
5.148348,1,2337.101621
1.585139,1,2349.276723
1.728938,1,2361.265339
1.446355,1,2373.314818
4.051275,1,2385.356958
1.456879,1,2397.429352
1.526748,1,2409.484972
1.526748,1,2421.530134
1.342827,1,2433.492733
0.0,1,2445.795324
0.0,1,2457.903297
0.0,1,2470.230562
1.536053,1,2482.308488
