#{"t_start": 1640165250.3636544, "env_id": "SwimmerEnv-v0"}
r,l,t
2.739347,1,12.060517
1.246319,1,24.223974
1.443933,1,36.279006
1.760384,1,48.670447
1.231727,1,60.819081
0.0,1,73.173745
0.0,1,85.316219
0.0,1,97.436955
0.0,1,109.532414
0.0,1,121.731089
0.0,1,133.819328
0.0,1,146.02164
0.0,1,158.108659
0.0,1,170.203871
0.0,1,182.28277
0.0,1,194.436521
0.0,1,206.492228
0.0,1,218.577138
0.0,1,230.593902
0.0,1,242.771769
4.019003,1,254.858491
2.654078,1,267.061424
1.692337,1,279.165195
3.157776,1,291.396309
3.409288,1,303.447003
0.0,1,315.507525
0.0,1,327.55143
0.0,1,339.646304
0.0,1,351.751674
0.0,1,363.892471
0.0,1,375.981407
0.0,1,388.108398
4.921464,1,400.175323
1.784609,1,412.326482
1.125392,1,424.421393
1.74508,1,436.567595
0.413464,1,448.70582
1.70037,1,460.9056
1.700371,1,473.02133
1.700371,1,485.085564
4.973881,1,497.142396
0.982585,1,509.157644
2.416546,1,521.179364
1.059704,1,533.183834
1.42768,1,545.276323
1.866446,1,557.317441
1.176277,1,569.444358
1.580523,1,581.53836
1.066459,1,593.631411
1.246526,1,605.799645
1.246526,1,617.882583
1.246526,1,630.03591
5.348126,1,642.191001
1.639805,1,654.303084
1.566226,1,666.417116
2.982508,1,678.478816
1.920235,1,690.506618
2.682203,1,702.498655
1.505525,1,714.548226
1.090237,1,726.655131
2.737996,1,738.736857
0.0,1,750.768283
0.0,1,762.829904
0.0,1,774.927215
4.38484,1,786.965761
1.400284,1,799.07301
1.61974,1,811.110677
1.91177,1,823.376122
1.157743,1,835.489359
1.498143,1,847.734903
1.254032,1,859.837366
1.435423,1,872.2297
2.557137,1,884.328347
0.0,1,896.531358
0.0,1,908.619664
0.0,1,920.853346
2.857452,1,932.943219
0.984772,1,945.207135
0.984772,1,957.336065
0.984772,1,969.633748
1.26653,1,981.719994
0.0,1,993.95719
0.0,1,1006.046487
0.0,1,1018.219651
0.0,1,1030.316118
0.0,1,1042.490096
0.0,1,1054.567663
0.0,1,1066.598706
0.0,1,1078.564799
0.0,1,1090.581006
0.0,1,1102.606253
0.0,1,1114.639954
0.0,1,1126.667834
0.0,1,1138.733817
0.0,1,1150.831337
0.0,1,1162.961761
1.61789,1,1175.000654
3.038645,1,1187.159237
0.199872,1,1199.236889
0.512031,1,1211.396526
1.437854,1,1223.449888
0.0,1,1235.763897
0.0,1,1247.975231
0.0,1,1260.281123
2.91958,1,1272.357076
1.124958,1,1284.544652
1.124958,1,1296.594905
1.124958,1,1308.792355
1.208408,1,1320.849029
0.0,1,1332.925565
0.0,1,1345.037301
0.0,1,1357.206887
5.399169,1,1369.253119
1.29952,1,1381.342218
1.297208,1,1393.408092
2.956055,1,1405.48668
0.563282,1,1417.554302
1.597557,1,1429.621226
1.597557,1,1441.706679
1.597557,1,1453.884151
0.411316,1,1465.896096
0.0,1,1478.002597
0.0,1,1490.063329
0.0,1,1502.103067
0.123742,1,1514.095824
0.123634,1,1526.062211
0.123634,1,1538.108845
0.123634,1,1550.117645
2.78319,1,1562.14254
1.261994,1,1574.125957
3.215143,1,1586.160359
2.230314,1,1598.184081
1.470712,1,1610.240984
0.0,1,1622.270809
0.0,1,1634.3358
0.0,1,1646.367695
3.732873,1,1658.411278
1.691645,1,1670.471139
2.017919,1,1682.5662
1.287288,1,1694.60464
3.466805,1,1706.589455
0.967635,1,1718.674892
1.561727,1,1730.752498
1.56184,1,1742.846695
1.31763,1,1754.872156
0.755597,1,1766.988227
0.755597,1,1779.052362
0.755597,1,1791.164868
4.385478,1,1803.188916
2.407363,1,1815.265263
1.594058,1,1827.332898
1.174553,1,1839.437179
3.688875,1,1851.459504
1.828091,1,1863.568679
1.080546,1,1875.641175
2.002624,1,1887.828643
2.024086,1,1899.899171
0.0,1,1911.981241
0.0,1,1924.081113
0.0,1,1936.237856
4.372849,1,1948.273528
1.047772,1,1960.384547
1.037818,1,1972.464801
1.413679,1,1984.541692
3.157095,1,1996.577198
0.0,1,2008.685441
0.0,1,2020.741055
0.0,1,2032.975885
5.783557,1,2045.002142
0.503398,1,2057.149108
6.534105,1,2069.217375
1.097797,1,2081.27047
3.694745,1,2093.294563
0.0,1,2105.439846
0.0,1,2117.589909
0.0,1,2129.762111
0.0,1,2141.827168
0.0,1,2153.926297
0.0,1,2165.978611
0.0,1,2178.031133
3.770178,1,2190.052639
1.316784,1,2202.124429
2.879965,1,2214.227308
1.498372,1,2226.271837
1.254264,1,2238.329991
0.0,1,2250.424291
0.0,1,2262.530255
0.0,1,2274.504299
0.0,1,2286.51689
0.0,1,2298.573559
0.0,1,2310.673105
0.0,1,2322.835186
0.442272,1,2334.843572
0.671941,1,2346.988433
0.671941,1,2359.016392
0.671941,1,2371.054081
0.122899,1,2383.090135
0.0,1,2395.168934
0.0,1,2407.227156
0.0,1,2419.268664
3.990752,1,2431.235939
1.721678,1,2443.482968
1.778482,1,2455.634645
0.267674,1,2467.916599
1.328112,1,2480.040623
1.202495,1,2492.075436
2.092805,1,2504.179253
1.399338,1,2516.200416
1.347743,1,2528.227523
1.304438,1,2540.33192
0.946745,1,2552.389651
1.626584,1,2564.469815
1.29663,1,2576.510311
1.84901,1,2588.630941
1.949278,1,2600.701372
5.63221,1,2612.816404
3.011207,1,2624.876538
2.825202,1,2637.017173
2.102802,1,2649.00106
1.69637,1,2661.222359
2.132688,1,2673.313389
0.922144,1,2685.646974
1.541806,1,2697.800694
1.892903,1,2710.105269
1.555959,1,2722.22025
1.190824,1,2734.297204
1.793769,1,2746.32917
0.988277,1,2758.392368
2.445121,1,2770.505652
1.251469,1,2782.710339
1.851362,1,2794.795467
1.564585,1,2806.904854
2.576828,1,2818.960334
0.0,1,2831.015728
0.0,1,2843.075437
0.0,1,2855.058399
4.91287,1,2867.109522
1.282816,1,2879.156744
2.419445,1,2891.204791
2.590379,1,2903.486069
1.290904,1,2915.611846
0.0,1,2927.937256
0.0,1,2940.043971
0.0,1,2952.278087
2.601226,1,2964.408902
1.424761,1,2976.539936
0.182827,1,2988.647872
0.604444,1,3000.709323
2.928029,1,3012.769071
2.144573,1,3024.845712
1.731574,1,3036.932031
0.957591,1,3049.021713
2.712371,1,3061.140918
1.142469,1,3073.228946
1.604327,1,3085.352402
1.600234,1,3097.465294
2.515204,1,3109.554898
0.0,1,3121.639276
0.0,1,3133.690388
0.0,1,3145.978059
0.408056,1,3158.104147
0.6246,1,3170.249117
0.6246,1,3182.319159
0.6246,1,3194.488924
0.112655,1,3206.551426
0.0,1,3218.713609
0.0,1,3230.783991
0.0,1,3242.846859
4.20372,1,3254.906459
