#{"t_start": 1640165250.3624384, "env_id": "SwimmerEnv-v0"}
r,l,t
1.342643,1,8.303818
1.7475,1,20.418491
1.747501,1,32.517005
1.747501,1,44.781517
0.006266,1,57.055733
0.0,1,69.286661
0.0,1,81.555479
0.0,1,93.63696
4.223957,1,105.749371
2.357397,1,117.902436
1.618489,1,130.055925
0.99435,1,142.183468
2.818215,1,154.332483
1.9024,1,166.418648
1.890339,1,178.500354
1.889943,1,190.627731
4.614942,1,202.7339
1.788609,1,214.806401
1.347788,1,226.836586
1.784708,1,238.959113
1.267353,1,251.088735
2.133682,1,263.234787
2.5267,1,275.378767
2.236081,1,287.55649
2.168073,1,299.692143
1.867119,1,311.746839
1.87147,1,323.787388
1.87147,1,335.869339
0.593416,1,347.964972
0.59854,1,360.099308
0.59854,1,372.195141
0.59854,1,384.302184
0.001316,1,396.403811
0.0,1,408.521233
0.0,1,420.632591
0.0,1,432.748795
5.413519,1,444.917013
1.635771,1,457.08479
1.111172,1,469.23134
2.031311,1,481.308937
1.785317,1,493.374884
1.609371,1,505.406026
1.079395,1,517.411517
1.973854,1,529.426028
3.148039,1,541.48887
0.0,1,553.547003
0.0,1,565.627037
0.0,1,577.752751
3.565131,1,589.852517
1.624893,1,601.965316
2.605836,1,614.108409
1.504725,1,626.222805
2.430282,1,638.403876
9.872193,1,650.518105
2.866973,1,662.633675
1.267572,1,674.71418
1.230734,1,686.760288
0.0,1,698.752221
0.0,1,710.76391
0.0,1,722.864506
0.0,1,734.984842
0.0,1,747.007624
0.0,1,759.066152
0.0,1,771.148765
0.0,1,783.212232
0.0,1,795.276326
0.0,1,807.347716
0.0,1,819.523884
0.0,1,831.713978
0.0,1,843.876062
0.0,1,856.050729
0.0,1,868.327794
3.312705,1,880.571868
1.709545,1,892.693653
1.709545,1,904.837471
1.709545,1,917.007151
0.718117,1,929.173343
1.169392,1,941.350322
1.169392,1,953.547425
1.169392,1,965.768387
0.003109,1,977.960858
0.0,1,990.112445
0.0,1,1002.285316
0.0,1,1014.403856
0.0,1,1026.558401
0.0,1,1038.674192
0.0,1,1050.80094
0.0,1,1062.846813
2.75445,1,1074.827405
1.884963,1,1086.81525
1.408815,1,1098.839525
0.998608,1,1110.881892
0.123433,1,1122.910362
0.319229,1,1134.95241
0.319229,1,1147.032582
0.319229,1,1159.17691
0.478456,1,1171.236012
0.689549,1,1183.34694
0.689549,1,1195.465105
0.689549,1,1207.586961
3.006281,1,1219.680286
0.895173,1,1231.879821
1.783451,1,1244.164838
2.689537,1,1256.423597
1.278755,1,1268.600878
1.671632,1,1280.716716
1.463455,1,1292.834924
1.564078,1,1304.972478
4.387167,1,1317.082429
1.479531,1,1329.14966
1.16451,1,1341.242436
1.43373,1,1353.400496
3.068823,1,1365.49109
1.879813,1,1377.555936
1.87981,1,1389.62979
1.87981,1,1401.71591
0.008043,1,1413.781767
0.0,1,1425.841073
0.0,1,1437.929485
0.0,1,1450.068787
0.0,1,1462.154652
0.0,1,1474.201726
0.0,1,1486.296875
0.0,1,1498.34678
5.032454,1,1510.346565
1.295015,1,1522.321134
1.770241,1,1534.342268
2.070052,1,1546.368206
1.554845,1,1558.373878
1.749846,1,1570.378027
1.749848,1,1582.401672
1.749848,1,1594.434454
1.012618,1,1606.462658
0.0,1,1618.507793
0.0,1,1630.55524
0.0,1,1642.610509
0.0,1,1654.635394
0.0,1,1666.689247
0.0,1,1678.78015
0.0,1,1690.846249
0.0,1,1702.844318
0.0,1,1714.89825
0.0,1,1726.984353
0.0,1,1739.076747
0.0,1,1751.105592
0.0,1,1763.186939
0.0,1,1775.277998
0.0,1,1787.380088
0.880189,1,1799.426681
1.269391,1,1811.476225
1.269391,1,1823.553726
1.269391,1,1835.649004
0.283709,1,1847.720544
0.0,1,1859.765475
0.0,1,1871.877846
0.0,1,1884.009794
0.0,1,1896.130705
0.0,1,1908.189715
0.0,1,1920.301861
0.0,1,1932.429215
4.74543,1,1944.51712
1.1047,1,1956.584594
2.110226,1,1968.695658
1.324752,1,1980.749367
1.746113,1,1992.821267
1.472544,1,2004.894808
1.852568,1,2016.978505
1.641686,1,2029.135391
2.647134,1,2041.254003
1.322547,1,2053.327549
1.98321,1,2065.452189
1.506131,1,2077.495651
4.096804,1,2089.534198
0.579547,1,2101.629619
1.089537,1,2113.791754
1.545657,1,2125.938902
3.001009,1,2138.052168
0.0,1,2150.134361
0.0,1,2162.212529
0.0,1,2174.249474
0.418119,1,2186.292907
0.63857,1,2198.33584
0.63857,1,2210.451914
0.63857,1,2222.502472
0.115648,1,2234.560536
0.0,1,2246.639241
0.0,1,2258.74456
0.0,1,2270.771797
0.146893,1,2282.75347
0.146761,1,2294.808104
0.146761,1,2306.895165
0.146761,1,2319.036687
2.934705,1,2331.097614
1.387096,1,2343.183407
0.623365,1,2355.271808
0.964711,1,2367.287471
3.690239,1,2379.323644
2.062046,1,2391.399202
1.730973,1,2403.46645
3.015594,1,2415.504266
2.655353,1,2427.494243
2.16519,1,2439.637481
1.502558,1,2451.858006
1.923259,1,2464.060314
1.867963,1,2476.269045
0.0,1,2488.31704
0.0,1,2500.395445
0.0,1,2512.455087
3.946086,1,2524.461519
1.556951,1,2536.546623
1.290302,1,2548.630327
1.553636,1,2560.685042
1.155506,1,2572.736179
0.0,1,2584.845911
0.0,1,2596.935122
0.0,1,2609.018591
0.0,1,2621.100101
0.0,1,2633.218321
0.0,1,2645.248805
0.0,1,2657.369447
3.199539,1,2669.541396
1.512399,1,2681.784177
1.512399,1,2694.013811
1.512399,1,2706.249409
1.185098,1,2718.455596
0.0,1,2730.527052
0.0,1,2742.586792
0.0,1,2754.630352
0.141169,1,2766.709945
0.140742,1,2778.89828
0.140742,1,2791.017491
0.140742,1,2803.118342
7.335039,1,2815.1951
1.909329,1,2827.255381
4.395576,1,2839.306573
4.98549,1,2851.319035
3.009909,1,2863.329483
0.317346,1,2875.396683
0.317228,1,2887.436645
0.317228,1,2899.627529
0.805939,1,2911.822057
0.806498,1,2924.069092
0.806498,1,2936.27197
0.806498,1,2948.436248
1.273689,1,2960.623131
0.0,1,2972.749997
0.0,1,2984.863223
0.0,1,2996.934163
1.985384,1,3008.996602
1.881082,1,3021.072015
1.877065,1,3033.143169
1.876911,1,3045.243912
3.121742,1,3057.357678
1.4972,1,3069.459873
1.4972,1,3081.560249
1.4972,1,3093.679092
2.045372,1,3105.785926
1.425199,1,3117.881404
1.425199,1,3129.921601
1.425199,1,3142.124794
0.004191,1,3154.331498
0.0,1,3166.44654
0.0,1,3178.541088
0.0,1,3190.677738
0.0,1,3202.789584
0.0,1,3214.9112
0.0,1,3227.016827
0.0,1,3239.084251
3.86345,1,3251.132412
3.448559,1,3263.193649
1.899921,1,3275.292913
2.952532,1,3287.437557
1.91598,1,3299.501646
0.0,1,3311.531151
0.0,1,3323.550639
0.0,1,3335.64202
0.100175,1,3347.735222
0.164801,1,3359.847999
0.164801,1,3371.956426
0.164801,1,3384.082272
2.667905,1,3396.134382
0.68741,1,3408.221396
0.687417,1,3420.329275
0.687417,1,3432.358898
1.76924,1,3444.423313
1.7538,1,3456.442133
3.3917,1,3468.493253
1.658864,1,3480.562549
3.010469,1,3492.659806
1.638282,1,3504.740005
1.571916,1,3516.849273
1.562714,1,3528.974128
3.283734,1,3541.051139
1.664318,1,3553.177894
2.027897,1,3565.327939
1.576241,1,3577.446548
1.882763,1,3589.532488
0.0,1,3601.578163
0.0,1,3613.676132
0.0,1,3625.769061
0.0,1,3637.810189
0.0,1,3649.855268
0.0,1,3661.947254
0.0,1,3674.022644
5.652922,1,3686.072189
2.184409,1,3698.212296
0.885307,1,3710.387078
8.171431,1,3722.588928
2.516892,1,3734.763699
2.680387,1,3746.839651
2.107639,1,3758.907731
1.415466,1,3771.053009
1.084914,1,3783.153209
0.0,1,3795.211144
0.0,1,3807.334131
0.0,1,3819.486311
4.263952,1,3831.604758
1.036969,1,3843.751331
1.28056,1,3855.910756
1.416192,1,3868.06715
2.616469,1,3880.198608
2.049902,1,3892.313995
1.480654,1,3904.484533
1.667328,1,3916.700773
2.136542,1,3928.891657
0.771226,1,3941.144314
2.037615,1,3953.415123
2.365735,1,3965.573259
1.13481,1,3977.696278
0.875504,1,3989.800986
0.875504,1,4001.927093
0.875504,1,4014.042954
0.002107,1,4026.119956
0.0,1,4038.205571
0.0,1,4050.304331
0.0,1,4062.377614
1.017474,1,4074.418934
1.447134,1,4086.571396
1.447134,1,4098.768114
1.447134,1,4110.950497
3.808768,1,4123.100388
1.080399,1,4135.309644
9.96464,1,4147.535959
3.734722,1,4159.697202
1.006209,1,4171.762306
0.0,1,4183.807261
0.0,1,4195.891291
0.0,1,4208.437766
0.0,1,4221.410611
0.0,1,4234.400749
0.0,1,4247.403857
0.0,1,4260.38483
2.238449,1,4273.36112
0.686706,1,4286.375672
0.844363,1,4299.435598
1.651309,1,4312.503703
0.571771,1,4325.558595
0.0,1,4338.73734
0.0,1,4351.885573
0.0,1,4364.981133
2.295056,1,4378.040548
1.279167,1,4391.021209
1.151602,1,4404.027444
1.352894,1,4417.021605
1.362877,1,4430.016436
1.348735,1,4443.03927
1.348735,1,4456.097363
1.348735,1,4469.106835
1.299697,1,4482.101457
0.0,1,4495.153564
0.0,1,4508.16489
0.0,1,4521.256595
3.72541,1,4534.331029
3.314911,1,4547.539402
1.878918,1,4560.736787
2.322112,1,4573.912084
3.544725,1,4587.098359
1.302472,1,4599.86045
0.458785,1,4612.082877
1.06757,1,4624.160965
1.491489,1,4636.256065
2.471885,1,4648.3753
2.000461,1,4660.472662
1.424195,1,4672.5696
0.687756,1,4684.60636
1.680667,1,4696.726521
2.036913,1,4708.864157
2.130641,1,4720.985215
1.836415,1,4733.121699
0.201248,1,4745.291572
5.211372,1,4757.431681
1.357766,1,4769.64995
3.622183,1,4781.790152
2.008267,1,4793.925569
1.442177,1,4806.029812
0.953052,1,4818.068158
0.991341,1,4830.119688
0.99765,1,4842.192726
0.99765,1,4854.251418
0.99765,1,4866.30212
7.771611,1,4878.327341
2.013763,1,4890.391213
1.354677,1,4902.417582
1.631091,1,4914.449549
1.295054,1,4926.506396
0.0,1,4938.656429
0.0,1,4950.811108
0.0,1,4962.923286
1.133841,1,4975.061203
1.561553,1,4987.232599
1.561553,1,4999.367968
1.561553,1,5011.42753
2.068429,1,5023.524187
1.299665,1,5035.620937
1.295014,1,5047.72289
3.402564,1,5059.810454
1.911264,1,5071.906
1.836776,1,5083.981576
1.836782,1,5096.051528
1.836782,1,5108.089223
2.581924,1,5120.182122
0.633999,1,5132.329338
0.63401,1,5144.446873
0.63401,1,5156.651434
0.186215,1,5168.825913
7.695247,1,5181.039359
1.382127,1,5193.238328
2.153199,1,5205.425386
1.394119,1,5217.677258
1.614895,1,5229.954475
1.871222,1,5242.219466
1.513425,1,5254.432376
1.500189,1,5266.617716
1.896288,1,5278.662639
2.798608,1,5290.724321
2.713214,1,5302.762222
1.382911,1,5314.865489
2.315059,1,5327.034656
1.576251,1,5339.15906
1.658863,1,5351.29922
0.942456,1,5363.397053
0.63874,1,5375.552403
0.62723,1,5387.670054
0.829949,1,5399.704426
1.407595,1,5411.762835
1.205736,1,5423.816711
3.336741,1,5435.884182
1.478997,1,5448.096812
0.895549,1,5460.27439
1.693711,1,5472.41338
1.422723,1,5484.523903
1.790008,1,5496.663934
1.934065,1,5508.854939
0.0,1,5520.962676
0.0,1,5533.085944
0.0,1,5545.201103
1.206421,1,5557.36062
1.614054,1,5569.500916
1.614054,1,5581.631065
1.614054,1,5593.759612
2.862865,1,5605.959044
1.468428,1,5618.119159
1.282238,1,5630.263979
1.872195,1,5642.35786
5.530188,1,5654.417718
0.481345,1,5666.488693
0.950199,1,5678.557632
0.950199,1,5690.628509
4.330803,1,5702.721438
1.902693,1,5714.810089
1.909349,1,5726.911922
1.909349,1,5739.021126
7.229425,1,5751.089186
1.220549,1,5763.153563
2.49636,1,5775.213874
1.315865,1,5787.277513
2.160997,1,5799.355778
0.845198,1,5811.502285
0.845198,1,5823.640695
0.845198,1,5835.725314
3.869131,1,5847.819146
1.203836,1,5859.842508
1.559434,1,5871.875432
1.662237,1,5883.892291
3.214623,1,5895.874385
1.578795,1,5907.871647
1.578795,1,5919.841868
1.578795,1,5931.921589
3.285927,1,5944.017506
2.047273,1,5956.098718
1.538277,1,5968.216987
1.282021,1,5980.247544
2.524615,1,5992.280067
1.222215,1,6004.353692
1.70216,1,6016.439165
1.074352,1,6028.538517
3.535279,1,6040.620718
2.652801,1,6052.713803
2.859935,1,6064.832354
2.607367,1,6076.96817
0.36777,1,6089.095347
1.944415,1,6101.092946
1.176709,1,6113.196066
3.067181,1,6125.316737
1.489876,1,6137.387263
1.555521,1,6149.496593
1.102071,1,6161.638908
7.47937,1,6173.826225
1.31568,1,6185.99734
0.223017,1,6198.138982
0.223017,1,6210.275987
0.223017,1,6222.483051
1.649775,1,6234.639198
2.627838,1,6246.726979
0.146892,1,6258.822094
1.743767,1,6270.942036
1.796232,1,6283.06558
0.665126,1,6295.123889
0.665126,1,6307.196311
0.665126,1,6319.324966
2.148008,1,6331.413798
1.206263,1,6343.465672
1.567407,1,6355.508313
1.603259,1,6367.525289
1.279414,1,6379.554993
0.0,1,6391.644473
0.0,1,6403.753616
0.0,1,6415.85292
2.94401,1,6427.93766
1.116985,1,6440.023881
1.116985,1,6452.12805
1.116985,1,6464.196491
1.018774,1,6476.251782
1.014488,1,6488.319393
1.014488,1,6500.359651
1.014488,1,6512.509391
1.916858,1,6524.62171
0.929107,1,6536.676266
0.929107,1,6548.779683
0.929107,1,6560.852772
0.189932,1,6572.932306
0.0,1,6584.954023
0.0,1,6597.028909
0.0,1,6609.124616
5.030358,1,6621.152087
1.21914,1,6633.252355
0.729162,1,6645.369622
1.623901,1,6657.501581
0.769642,1,6669.653975
0.0,1,6681.673948
0.0,1,6693.712873
0.0,1,6705.780419
4.91583,1,6717.792733
3.083551,1,6729.788172
1.473028,1,6741.795952
1.432968,1,6753.867801
1.470096,1,6765.952564
0.0,1,6778.028684
0.0,1,6790.130913
0.0,1,6802.275428
3.259067,1,6814.328702
1.702933,1,6826.398741
1.702759,1,6838.522526
1.702758,1,6850.644457
3.238905,1,6862.826933
0.905035,1,6875.038796
1.776335,1,6887.211513
1.77856,1,6899.404444
2.356822,1,6911.580965
1.615994,1,6923.636583
1.68243,1,6935.678991
1.68243,1,6947.708314
0.452837,1,6959.702817
0.0,1,6971.725427
0.0,1,6983.802044
0.0,1,6995.882671
4.853354,1,7007.940164
0.998092,1,7020.003472
