#{"t_start": 1640165250.3609118, "env_id": "SwimmerEnv-v0"}
r,l,t
0.807963,1,3.80086
0.978634,1,15.845511
0.978634,1,28.015881
0.978634,1,40.106195
3.68709,1,52.524047
1.33021,1,64.623714
2.296226,1,77.024446
1.930799,1,89.081251
3.09544,1,101.220675
2.67494,1,113.309535
1.828457,1,125.527814
1.670469,1,137.595143
0.934014,1,149.820785
1.765956,1,161.881616
1.57224,1,173.980935
0.443961,1,186.062974
1.104776,1,198.223279
0.0,1,210.27
0.0,1,222.344393
0.0,1,234.379495
0.0,1,246.569497
0.0,1,258.648502
0.0,1,270.861117
0.0,1,282.958614
0.0,1,295.197077
0.0,1,307.209323
0.0,1,319.276767
0.0,1,331.332025
2.244686,1,343.431693
0.366293,1,355.52643
0.366293,1,367.661265
0.366293,1,379.754834
1.24331,1,391.885948
0.0,1,403.945256
0.0,1,416.106841
0.0,1,428.208498
0.268936,1,440.365922
0.268661,1,452.498945
0.268661,1,464.698061
0.268661,1,476.789346
2.430546,1,488.855846
2.107505,1,500.899613
1.240234,1,512.903387
1.381093,1,524.93354
1.302554,1,536.950055
1.695348,1,549.034978
1.69535,1,561.081603
1.69535,1,573.221786
0.623951,1,585.321755
1.249765,1,597.412148
1.115712,1,609.606837
2.434862,1,621.664217
1.059869,1,633.839968
0.0,1,645.981856
0.0,1,658.089823
0.0,1,670.199351
0.493574,1,682.242165
0.492954,1,694.255618
0.492954,1,706.245689
0.492954,1,718.331832
0.001047,1,730.446809
0.0,1,742.50073
0.0,1,754.544119
0.0,1,766.605277
4.526417,1,778.700494
0.920883,1,790.723836
1.340082,1,802.839522
1.599827,1,814.904605
0.981248,1,827.192755
0.470887,1,839.280622
0.405582,1,851.54177
0.913125,1,863.657547
1.164813,1,876.066572
0.645292,1,888.107373
0.645292,1,900.330296
0.645292,1,912.414367
2.157662,1,924.650218
0.976848,1,936.739599
1.191335,1,949.023513
1.336392,1,961.150712
2.80533,1,973.44453
0.0,1,985.517595
0.0,1,997.780723
0.0,1,1009.839611
0.610953,1,1022.031931
0.61011,1,1034.095963
0.61011,1,1046.290316
0.61011,1,1058.325066
0.001347,1,1070.339995
0.0,1,1082.304926
0.0,1,1094.344533
0.0,1,1106.368758
2.412048,1,1118.403394
1.541532,1,1130.432908
1.143112,1,1142.508214
1.5135,1,1154.636627
2.128865,1,1166.728189
1.261274,1,1178.784057
1.261274,1,1190.945748
1.261274,1,1203.026626
0.003468,1,1215.180357
0.0,1,1227.250272
0.0,1,1239.60713
0.0,1,1251.811292
4.545706,1,1264.092539
1.385946,1,1276.128562
1.470826,1,1288.334185
1.801239,1,1300.38011
1.269845,1,1312.572724
1.214708,1,1324.621376
1.28973,1,1336.705961
1.415242,1,1348.837595
2.727752,1,1360.985072
1.739491,1,1373.011827
1.739491,1,1385.117869
1.739491,1,1397.175904
1.865485,1,1409.254186
0.425531,1,1421.321173
0.514235,1,1433.402436
0.514323,1,1445.489267
1.053962,1,1457.667272
1.758055,1,1469.653056
2.850554,1,1481.784302
2.224857,1,1493.823923
2.273413,1,1505.845875
2.368619,1,1517.83433
1.445844,1,1529.810205
2.993322,1,1541.856579
3.021441,1,1553.861835
1.917875,1,1565.888848
1.917844,1,1577.881298
1.917844,1,1589.907287
0.621261,1,1601.943848
0.0,1,1613.998201
0.0,1,1626.028352
0.0,1,1638.088622
3.271138,1,1650.116788
1.632013,1,1662.16933
1.632013,1,1674.235661
1.632013,1,1686.328732
4.967267,1,1698.344072
0.337584,1,1710.351689
0.337585,1,1722.447757
0.337585,1,1734.522192
1.309508,1,1746.607286
1.306517,1,1758.63985
1.306517,1,1770.761665
1.306517,1,1782.82163
4.409133,1,1794.925679
1.387008,1,1806.954729
1.86943,1,1819.03582
1.262642,1,1831.096763
3.262836,1,1843.213748
1.950649,1,1855.214735
1.949508,1,1867.355989
1.949502,1,1879.410869
0.707861,1,1891.620863
0.0,1,1903.668276
0.0,1,1915.767421
0.0,1,1927.86558
2.397829,1,1940.015537
1.573892,1,1952.034972
1.767764,1,1964.171631
1.767772,1,1976.216693
5.031868,1,1988.304763
0.450632,1,2000.343444
0.886573,1,2012.46899
0.684962,1,2024.523308
2.550684,1,2036.765755
0.495702,1,2048.763031
0.744991,1,2060.935677
0.642997,1,2072.976175
0.629282,1,2085.030074
1.293619,1,2097.077948
1.293619,1,2109.239522
1.293619,1,2121.377397
4.211633,1,2133.545033
2.009674,1,2145.596483
1.165905,1,2157.699996
2.234316,1,2169.732298
1.815001,1,2181.787889
1.306766,1,2193.811095
1.289476,1,2205.902304
1.680073,1,2217.990795
1.736203,1,2230.040651
0.0,1,2242.104276
0.0,1,2254.199449
0.0,1,2266.288206
3.806632,1,2278.24018
1.306333,1,2290.281599
1.875054,1,2302.341283
1.83922,1,2314.468158
1.151928,1,2326.602803
1.375255,1,2338.614895
1.77393,1,2350.773341
