#{"t_start": 1640165250.3631704, "env_id": "SwimmerEnv-v0"}
r,l,t
0.0,1,10.552214
0.0,1,22.70185
0.0,1,34.775693
0.0,1,47.116673
3.874301,1,59.310791
2.032796,1,71.61537
1.369688,1,83.807573
2.283949,1,95.911949
1.076467,1,108.016411
0.0,1,120.199166
0.0,1,132.316393
0.0,1,144.488517
0.0,1,156.596832
0.0,1,168.690917
0.0,1,180.772059
0.0,1,192.912413
2.324944,1,204.990479
1.17329,1,217.070039
0.934042,1,229.092538
0.988855,1,241.252537
4.764839,1,253.356358
1.264912,1,265.531636
1.528901,1,277.653957
2.190028,1,289.862375
4.394537,1,301.944859
1.03516,1,314.000039
0.720213,1,326.045653
0.858328,1,338.134441
0.962623,1,350.238463
0.0,1,362.377785
0.0,1,374.469955
0.0,1,386.587929
0.0,1,398.668034
0.0,1,410.805558
0.0,1,422.905995
0.0,1,435.038289
1.948215,1,447.191426
1.929319,1,459.376139
1.929315,1,471.503897
1.929315,1,483.575018
7.758716,1,495.635601
1.85707,1,507.659247
1.829139,1,519.670166
1.276155,1,531.681282
1.954315,1,543.760735
1.202337,1,555.809747
2.172689,1,567.915946
0.751824,1,580.02347
3.721921,1,592.117014
1.37068,1,604.262894
1.727416,1,616.369891
1.727424,1,628.507784
1.337621,1,640.673943
1.328383,1,652.78911
1.328383,1,664.902112
1.328383,1,676.974889
1.222784,1,689.004055
0.0,1,700.996475
0.0,1,713.02725
0.0,1,725.133698
0.127379,1,737.236748
0.2085,1,749.265129
0.2085,1,761.327894
0.2085,1,773.416896
0.000401,1,785.461331
0.0,1,797.552175
0.0,1,809.604553
0.0,1,821.830937
4.212313,1,833.981062
3.160129,1,846.188112
1.3119,1,858.324176
1.330843,1,870.675615
1.398791,1,882.822642
0.11391,1,894.99023
0.11391,1,907.105222
0.11391,1,919.311512
0.683258,1,931.429943
0.663377,1,943.657769
0.660686,1,955.815639
0.660295,1,968.08241
2.582373,1,980.216651
1.474881,1,992.418711
1.477417,1,1004.54141
