#{"t_start": 1640165250.3616958, "env_id": "SwimmerEnv-v0"}
r,l,t
0.0,1,6.05787
0.0,1,18.131368
0.0,1,30.266273
0.0,1,42.444005
0.0,1,54.791428
0.0,1,66.948423
0.0,1,79.290264
0.0,1,91.357135
4.161314,1,103.487885
2.640276,1,115.610014
1.108378,1,127.794216
1.451718,1,139.890573
0.564072,1,152.074605
0.0,1,164.144762
0.0,1,176.238985
0.0,1,188.347748
3.973508,1,200.477548
2.884612,1,212.532947
1.258219,1,224.58954
2.711025,1,236.66918
1.06494,1,248.825272
0.0,1,260.934846
0.0,1,273.116382
0.0,1,285.253499
1.765895,1,297.443476
1.758657,1,309.476219
1.758657,1,321.535986
1.758657,1,333.601955
9.612669,1,345.700722
3.24113,1,357.815384
1.323067,1,369.930323
1.560429,1,382.028476
3.287654,1,394.137427
1.419344,1,406.225935
1.27723,1,418.364055
1.256809,1,430.475505
2.863193,1,442.638888
1.343891,1,454.793001
1.829974,1,466.96566
2.121825,1,479.04472
1.270562,1,491.111475
1.537769,1,503.154048
1.537769,1,515.158325
1.537769,1,527.181295
2.400467,1,539.219621
1.318328,1,551.295169
1.293257,1,563.353704
1.641888,1,575.486317
1.095129,1,587.58614
1.882434,1,599.690083
1.29156,1,611.857878
2.329475,1,623.942167
1.028284,1,636.118293
0.0,1,648.2514
0.0,1,660.361084
0.0,1,672.451522
6.387072,1,684.50161
1.588727,1,696.500398
1.337349,1,708.503125
0.873104,1,720.59837
0.967068,1,732.710453
0.325597,1,744.747961
1.655904,1,756.801704
0.442925,1,768.874548
4.698315,1,780.956113
1.93944,1,793.003559
1.39626,1,805.096372
2.814985,1,817.217676
2.717999,1,829.447973
1.103457,1,841.57684
1.41988,1,853.793224
2.88058,1,865.990873
1.763514,1,878.319066
0.0,1,890.396756
0.0,1,902.582983
0.0,1,914.712422
3.334027,1,926.909641
1.777652,1,939.041682
1.777651,1,951.288612
1.777651,1,963.456425
1.890015,1,975.699013
4.350791,1,987.814296
1.329864,1,1000.032145
2.196091,1,1012.121957
1.845101,1,1024.295418
0.978451,1,1036.382656
2.948498,1,1048.545318
1.088044,1,1060.585365
4.098706,1,1072.584001
1.862882,1,1084.564976
1.685347,1,1096.592583
1.35347,1,1108.632652
1.42809,1,1120.664065
2.507639,1,1132.696635
1.31933,1,1144.77246
1.838482,1,1156.912953
1.860158,1,1168.984797
1.258905,1,1181.068411
1.845467,1,1193.211578
1.845471,1,1205.310077
0.007429,1,1217.425425
0.0,1,1229.568883
0.0,1,1241.886615
0.0,1,1254.118138
3.942975,1,1266.351116
1.574582,1,1278.426289
1.868117,1,1290.587405
2.29652,1,1302.680027
0.604927,1,1314.826654
1.244965,1,1326.88688
1.244965,1,1338.972811
1.244965,1,1351.118792
0.003403,1,1363.232898
0.0,1,1375.285194
0.0,1,1387.371995
0.0,1,1399.44699
0.0,1,1411.516721
0.0,1,1423.580882
0.0,1,1435.666107
0.0,1,1447.776049
0.0,1,1459.91687
0.0,1,1471.928706
0.0,1,1484.042476
0.0,1,1496.085059
2.27598,1,1508.097365
1.07368,1,1520.079835
0.979684,1,1532.081114
1.608774,1,1544.114185
2.293005,1,1556.116752
0.0,1,1568.135141
0.0,1,1580.144332
0.0,1,1592.173072
4.038035,1,1604.202088
1.724578,1,1616.257012
1.862655,1,1628.291933
3.410162,1,1640.350746
1.228489,1,1652.377697
2.441285,1,1664.431577
1.360396,1,1676.512609
1.21157,1,1688.588367
2.155087,1,1700.602322
0.560559,1,1712.626022
0.560559,1,1724.716945
0.560559,1,1736.801675
0.099247,1,1748.855213
0.0,1,1760.910568
0.0,1,1773.016484
0.0,1,1785.100837
0.0,1,1797.174633
0.0,1,1809.21894
0.0,1,1821.296691
0.0,1,1833.373039
1.868261,1,1845.468356
1.429272,1,1857.490432
1.343491,1,1869.619899
1.328263,1,1881.71406
0.957826,1,1893.873008
0.0,1,1905.92991
