#{"t_start": 1640165250.360574, "env_id": "SwimmerEnv-v0"}
r,l,t
3.10477,1,3.052402
1.842103,1,15.084283
1.141709,1,27.269047
2.473564,1,39.332494
3.546479,1,51.767676
3.685914,1,63.850421
1.718882,1,76.270602
1.510067,1,88.325273
2.285842,1,100.476532
0.0,1,112.554054
0.0,1,124.781778
0.0,1,136.835799
0.0,1,149.071795
0.0,1,161.131926
0.0,1,173.233819
0.0,1,185.308182
2.082261,1,197.4756
1.035555,1,209.517616
1.823214,1,221.601618
0.729849,1,233.622599
2.458075,1,245.81959
0.0,1,257.884454
0.0,1,270.115287
0.0,1,282.197735
3.607021,1,294.450764
1.514015,1,306.460934
3.731447,1,318.530412
2.667809,1,330.57461
1.11366,1,342.684755
0.0,1,354.771078
0.0,1,366.916947
0.0,1,379.00175
2.965734,1,391.136153
1.15008,1,403.188074
1.15008,1,415.359891
1.15008,1,427.456287
1.147953,1,439.613336
0.0,1,451.737739
0.0,1,463.949574
0.0,1,476.039632
0.374926,1,488.106117
0.578287,1,500.151133
0.578287,1,512.152504
0.578287,1,524.183789
3.168214,1,536.194046
1.447782,1,548.281348
2.224071,1,560.327725
1.950132,1,572.470474
2.435872,1,584.56686
0.82428,1,596.650916
2.180468,1,608.853591
1.055817,1,620.906392
3.575307,1,633.084889
1.440384,1,645.228591
1.370665,1,657.333695
1.35102,1,669.448974
3.047804,1,681.491015
1.550949,1,693.508815
1.45707,1,705.498304
1.441834,1,717.577611
1.982763,1,729.696345
1.765301,1,741.752321
1.475723,1,753.793535
2.32349,1,765.852079
2.478184,1,777.951965
1.284893,1,789.966362
1.551597,1,802.093615
1.08652,1,814.136811
1.919218,1,826.445423
0.0,1,838.522563
0.0,1,850.79919
0.0,1,862.887606
0.0,1,875.321384
0.0,1,887.344497
0.0,1,899.587355
0.0,1,911.652055
4.37615,1,923.907407
1.509616,1,935.973598
2.010253,1,948.275815
1.573845,1,960.380637
2.270336,1,972.695892
2.341199,1,984.75034
1.603196,1,997.037094
2.589857,1,1009.078427
4.620857,1,1021.280091
0.508954,1,1033.334908
1.108678,1,1045.539492
1.515412,1,1057.575667
1.074243,1,1069.592476
0.0,1,1081.560756
0.0,1,1093.599348
0.0,1,1105.61794
0.0,1,1117.648165
0.0,1,1129.676498
0.0,1,1141.755064
0.0,1,1153.876629
5.35709,1,1165.981834
1.398228,1,1178.023602
1.288962,1,1190.200018
1.484693,1,1202.269946
2.878193,1,1214.436446
1.18389,1,1226.482752
1.172941,1,1238.856223
1.444653,1,1251.043946
0.809919,1,1263.346144
0.0,1,1275.363909
0.0,1,1287.589841
0.0,1,1299.612325
3.375827,1,1311.825925
2.272092,1,1323.866778
1.085753,1,1335.954703
1.710648,1,1348.078279
0.42189,1,1360.239532
0.0,1,1372.255144
0.0,1,1384.371115
0.0,1,1396.42235
4.72893,1,1408.505964
1.192238,1,1420.573318
2.255817,1,1432.657053
1.824388,1,1444.730391
5.486556,1,1456.925165
0.917323,1,1468.904839
0.917324,1,1481.039629
0.917324,1,1493.072529
2.869182,1,1505.101002
1.014473,1,1517.091316
1.014473,1,1529.063348
1.014473,1,1541.11134
0.764811,1,1553.112494
0.759496,1,1565.145667
0.759496,1,1577.131663
0.759496,1,1589.159732
2.44982,1,1601.194264
1.504854,1,1613.248892
1.504854,1,1625.281872
1.504854,1,1637.340075
1.929419,1,1649.365576
0.938312,1,1661.41804
4.477611,1,1673.479387
1.797617,1,1685.574172
2.53532,1,1697.60205
2.697264,1,1709.599448
2.74229,1,1721.699944
1.319553,1,1733.769054
1.541963,1,1745.861263
