#{"t_start": 1640165250.3629272, "env_id": "SwimmerEnv-v0"}
r,l,t
0.0,1,9.802456
0.0,1,21.942218
0.0,1,34.02176
0.0,1,46.338435
4.231439,1,58.559644
1.811364,1,70.845905
1.487276,1,83.058222
1.005075,1,95.155824
1.24061,1,107.26172
0.0,1,119.435143
0.0,1,131.563382
0.0,1,143.720919
0.0,1,155.839546
0.0,1,167.932764
0.0,1,180.014458
0.0,1,192.151163
1.961783,1,204.240935
0.852805,1,216.318731
1.154618,1,228.342777
1.421493,1,240.493842
2.055295,1,252.597975
1.435427,1,264.763707
3.307127,1,276.890521
2.544096,1,289.087564
1.359623,1,301.197401
0.0,1,313.251539
0.0,1,325.294263
0.0,1,337.383026
4.31522,1,349.480753
1.311971,1,361.619789
1.699095,1,373.711235
1.350216,1,385.826416
2.034102,1,397.913516
1.248911,1,410.044971
1.248911,1,422.146652
1.248911,1,434.277033
1.424318,1,446.433909
1.42361,1,458.611759
1.42361,1,470.74541
1.42361,1,482.820782
1.76161,1,494.878721
2.1594,1,506.904049
1.391256,1,518.913375
1.533302,1,530.923768
3.405295,1,543.001147
2.48558,1,555.051961
1.853274,1,567.148757
1.530304,1,579.263484
1.304133,1,591.365057
0.0,1,603.498949
0.0,1,615.618304
0.0,1,627.748182
0.892263,1,639.917688
1.28595,1,652.03096
1.28595,1,664.14624
1.28595,1,676.222586
2.22911,1,688.252202
1.164294,1,700.245555
1.458531,1,712.267465
1.533914,1,724.375734
2.461722,1,736.484208
1.632263,1,748.50953
1.644282,1,760.571613
1.644282,1,772.658573
0.005439,1,784.710143
0.0,1,796.792623
0.0,1,808.850409
0.0,1,821.061299
4.010466,1,833.224453
2.352436,1,845.414719
1.51215,1,857.566066
1.992197,1,869.891907
1.008218,1,882.071289
0.0,1,894.226087
0.0,1,906.344827
0.0,1,918.545936
4.365149,1,930.676111
2.609552,1,942.888362
2.754586,1,955.056249
2.814197,1,967.31223
3.302255,1,979.46655
1.794164,1,991.653067
1.834674,1,1003.789625
1.834674,1,1015.932403
2.066688,1,1028.057697
2.845303,1,1040.197443
1.403774,1,1052.306464
2.295434,1,1064.344436
3.131023,1,1076.327746
2.621936,1,1088.326748
1.461125,1,1100.348025
0.349921,1,1112.387414
2.074676,1,1124.410053
0.646138,1,1136.460798
0.646138,1,1148.546736
0.646138,1,1160.690329
0.12555,1,1172.740417
0.0,1,1184.87131
0.0,1,1196.971886
0.0,1,1209.109681
0.0,1,1221.18532
0.0,1,1233.425868
0.0,1,1245.686378
0.0,1,1257.966306
0.0,1,1270.100157
0.0,1,1282.244514
0.0,1,1294.334183
0.0,1,1306.494575
0.0,1,1318.586991
0.0,1,1330.65708
0.0,1,1342.756407
0.0,1,1354.92302
0.0,1,1366.997697
0.0,1,1379.071477
0.0,1,1391.139355
0.0,1,1403.22521
3.739596,1,1415.294493
2.022593,1,1427.353518
1.175464,1,1439.443901
1.478677,1,1451.59814
2.700382,1,1463.64966
1.449475,1,1475.721448
1.449475,1,1487.801061
1.449475,1,1499.849588
3.76991,1,1511.841991
1.722776,1,1523.815904
1.259291,1,1535.845065
1.459811,1,1547.862545
1.642855,1,1559.878589
0.0,1,1571.872796
0.0,1,1583.901017
0.0,1,1595.930449
4.177898,1,1607.971087
1.224293,1,1620.010385
1.169474,1,1632.063197
1.161828,1,1644.110074
2.327981,1,1656.142274
0.0,1,1668.201162
0.0,1,1680.290431
0.0,1,1692.349675
0.0,1,1704.340769
0.0,1,1716.408971
0.0,1,1728.493984
0.0,1,1740.585925
3.95275,1,1752.609462
1.910592,1,1764.705922
3.253708,1,1776.784412
2.483061,1,1788.889209
8.19979,1,1800.930105
3.787235,1,1812.989594
1.566957,1,1825.064729
1.375363,1,1837.165942
5.780986,1,1849.214045
5.206512,1,1861.285177
1.636905,1,1873.381073
1.085171,1,1885.537028
0.080271,1,1897.639419
1.455655,1,1909.703836
1.455655,1,1921.814677
1.455655,1,1933.955029
5.974998,1,1946.022483
1.464947,1,1958.105973
1.3191,1,1970.20317
1.443889,1,1982.264712
2.360885,1,1994.321493
0.0,1,2006.409476
0.0,1,2018.478981
0.0,1,2030.668176
3.97639,1,2042.755553
1.068836,1,2054.854919
1.502816,1,2066.959193
1.683993,1,2079.002801
5.568957,1,2091.035142
1.047698,1,2103.153569
1.477902,1,2115.310867
1.512101,1,2127.468913
1.721969,1,2139.562402
