#{"t_start": 1640165250.362685, "env_id": "SwimmerEnv-v0"}
r,l,t
0.0,1,9.057458
0.0,1,21.179436
0.0,1,33.268076
0.0,1,45.56104
5.260867,1,57.804169
1.978273,1,70.064482
1.916321,1,82.302989
2.09031,1,94.392705
1.333309,1,106.504137
0.0,1,118.665865
0.0,1,130.809628
0.0,1,142.953123
0.0,1,155.086327
0.0,1,167.175882
0.0,1,179.257893
0.0,1,191.388612
0.0,1,203.486285
0.0,1,215.561435
0.0,1,227.589009
0.0,1,239.726297
0.855901,1,251.844328
1.235925,1,263.996327
1.235925,1,276.136938
1.235925,1,288.324342
5.606761,1,300.445317
2.712723,1,312.501479
2.513737,1,324.541951
1.073792,1,336.628237
2.090984,1,348.720393
1.032366,1,360.857615
1.032366,1,372.952072
1.032366,1,385.064348
3.266329,1,397.159227
2.773004,1,409.284451
1.720789,1,421.393619
1.272261,1,433.512959
0.719275,1,445.678388
1.225766,1,457.849792
0.866902,1,469.991236
0.456572,1,482.064019
0.168824,1,494.130291
0.0,1,506.157774
0.0,1,518.16457
0.0,1,530.175671
3.919865,1,542.242662
1.209769,1,554.295643
2.369207,1,566.384303
1.444408,1,578.504997
3.434777,1,590.61009
0.48619,1,602.732987
1.021204,1,614.865172
0.582453,1,626.984866
1.265741,1,639.16014
0.0,1,651.274616
0.0,1,663.389946
0.0,1,675.46832
3.90966,1,687.505548
2.548457,1,699.498678
2.325734,1,711.514299
1.079305,1,723.620893
1.270355,1,735.733206
1.749706,1,747.755234
2.57212,1,759.817969
1.20945,1,771.902472
1.012998,1,783.960606
0.0,1,796.033762
0.0,1,808.098199
0.0,1,820.292712
1.311592,1,832.46796
1.308598,1,844.645283
1.308598,1,856.807
1.308598,1,869.108732
0.003665,1,881.322247
0.0,1,893.456385
0.0,1,905.591803
0.0,1,917.772061
0.0,1,929.926217
0.0,1,942.117056
0.0,1,954.304034
0.0,1,966.538344
4.389241,1,978.714505
4.349729,1,990.881932
1.567338,1,1003.039669
1.08308,1,1015.166739
2.310188,1,1027.309921
1.34187,1,1039.437096
1.34187,1,1051.556283
1.34187,1,1063.597176
0.308557,1,1075.575743
0.0,1,1087.568159
0.0,1,1099.594225
0.0,1,1111.633527
0.0,1,1123.65944
0.0,1,1135.706149
0.0,1,1147.790596
0.0,1,1159.934003
0.02926,1,1171.987893
0.048616,1,1184.107986
0.048616,1,1196.219078
0.048616,1,1208.3505
8.8e-05,1,1220.432432
0.0,1,1232.653185
0.0,1,1244.924944
0.0,1,1257.195831
4.66314,1,1269.348468
1.674301,1,1281.478387
2.093741,1,1293.582189
1.351671,1,1305.732276
1.794531,1,1317.833833
0.0,1,1329.902838
0.0,1,1342.000572
0.0,1,1354.16061
0.0,1,1366.245018
0.0,1,1378.312592
0.0,1,1390.384724
0.0,1,1402.469452
1.032349,1,1414.536627
1.464024,1,1426.594556
1.464024,1,1438.684811
1.464024,1,1450.832529
0.004383,1,1462.900013
0.0,1,1474.960396
0.0,1,1487.049874
0.0,1,1499.097659
2.421744,1,1511.09333
0.421852,1,1523.066251
0.421852,1,1535.094028
0.421852,1,1547.114149
0.749223,1,1559.123823
6.418477,1,1571.124168
3.291644,1,1583.14888
2.236358,1,1595.181988
0.779227,1,1607.211974
1.295901,1,1619.254396
1.932216,1,1631.305851
1.426007,1,1643.357106
1.039826,1,1655.387772
0.0,1,1667.445065
0.0,1,1679.535887
0.0,1,1691.598765
3.915446,1,1703.590886
1.048793,1,1715.651131
3.198865,1,1727.738712
2.964378,1,1739.830299
1.066597,1,1751.861621
1.240517,1,1763.950513
1.419017,1,1776.034089
2.113757,1,1788.137691
0.948953,1,1800.177036
0.0,1,1812.233408
0.0,1,1824.309069
0.0,1,1836.405977
3.843859,1,1848.470597
1.314286,1,1860.528542
2.428527,1,1872.634959
1.14384,1,1884.777994
0.60946,1,1896.886329
0.568344,1,1908.947405
1.254712,1,1921.061071
0.674104,1,1933.194402
2.258628,1,1945.268987
1.989893,1,1957.34346
0.777203,1,1969.452277
1.257297,1,1981.505718
2.961061,1,1993.569097
1.930766,1,2005.650036
0.891442,1,2017.728568
1.366483,1,2029.901133
2.793321,1,2042.003109
1.727354,1,2054.08814
1.874127,1,2066.203488
1.87413,1,2078.246386
0.007928,1,2090.282293
0.0,1,2102.388968
0.0,1,2114.550164
0.0,1,2126.700964
1.923334,1,2138.805817
1.370146,1,2150.891338
1.64422,1,2162.968422
1.406609,1,2175.006141
1.277298,1,2187.046761
2.615309,1,2199.093754
3.00667,1,2211.209458
1.506794,1,2223.257091
0.611097,1,2235.31516
0.6066,1,2247.394419
0.6066,1,2259.500944
0.6066,1,2271.516762
8.572928,1,2283.506587
5.295539,1,2295.561955
2.295595,1,2307.653499
1.860293,1,2319.801988
0.674694,1,2331.846716
0.0,1,2343.942198
0.0,1,2356.020299
0.0,1,2368.03738
3.91496,1,2380.074076
1.412189,1,2392.151251
2.230803,1,2404.215768
3.15704,1,2416.254357
1.315335,1,2428.237363
2.770027,1,2440.404292
1.566483,1,2452.611629
2.891268,1,2464.825986
1.088388,1,2477.020714
1.679601,1,2489.063932
1.679615,1,2501.150462
1.679615,1,2513.203147
1.351277,1,2525.214231
1.663598,1,2537.302032
1.536829,1,2549.380818
1.207048,1,2561.440238
1.383936,1,2573.49051
0.0,1,2585.603796
0.0,1,2597.688798
0.0,1,2609.777172
4.273506,1,2621.855999
1.578958,1,2633.980492
1.207645,1,2646.003223
2.998968,1,2658.138653
3.03171,1,2670.295287
1.946683,1,2682.557369
1.946546,1,2694.772105
1.946546,1,2707.018725
3.164561,1,2719.206787
2.110624,1,2731.281321
1.223483,1,2743.335922
1.360959,1,2755.383206
8.35936,1,2767.468255
2.921549,1,2779.661619
2.030005,1,2791.773806
2.737931,1,2803.877357
1.321956,1,2815.950473
1.567948,1,2828.012471
2.528803,1,2840.062762
1.418642,1,2852.069372
3.778328,1,2864.081485
1.343181,1,2876.144459
1.687736,1,2888.187392
1.68774,1,2900.394742
2.117035,1,2912.578864
1.090109,1,2924.841132
1.500499,1,2937.026574
1.827507,1,2949.205175
2.099807,1,2961.378321
1.877764,1,2973.506307
1.932668,1,2985.619314
1.932688,1,2997.687343
0.642182,1,3009.747867
0.0,1,3021.824631
0.0,1,3033.899794
0.0,1,3045.99774
0.0,1,3058.114436
0.0,1,3070.21689
0.0,1,3082.320754
0.0,1,3094.438785
4.806725,1,3106.536556
1.210724,1,3118.635298
