#{"t_start": 1640165250.361445, "env_id": "SwimmerEnv-v0"}
r,l,t
0.279913,1,5.300439
0.328212,1,17.369714
0.328212,1,29.517231
0.328212,1,41.66305
0.000709,1,54.034949
0.0,1,66.173268
0.0,1,78.536098
0.0,1,90.599115
3.938134,1,102.730599
1.523483,1,114.840523
1.948871,1,127.036383
1.478866,1,139.124563
1.680387,1,151.323992
1.048366,1,163.391129
1.357684,1,175.48422
0.244472,1,187.586265
3.030462,1,199.721934
1.443061,1,211.77424
1.065718,1,223.835984
1.493281,1,235.900564
1.330951,1,248.072068
3.084896,1,260.168736
1.261588,1,272.360491
1.264534,1,284.486495
1.252382,1,296.694188
1.319607,1,308.719253
1.580654,1,320.783643
1.527126,1,332.844092
1.445386,1,344.94868
1.746719,1,357.059514
1.249099,1,369.174219
1.375741,1,381.27634
1.477728,1,393.389579
0.421484,1,405.468082
0.421484,1,417.610845
0.421484,1,429.72004
0.20943,1,441.877486
0.0,1,454.025641
0.0,1,466.206338
0.0,1,478.288524
0.756092,1,490.359866
1.09839,1,502.40227
1.09839,1,514.407394
1.09839,1,526.433053
1.361281,1,538.460841
1.35767,1,550.540099
1.35767,1,562.593426
1.35767,1,574.726746
2.993532,1,586.832726
2.291286,1,598.933986
0.684324,1,611.110506
1.180918,1,623.183857
0.839705,1,635.357343
2.643808,1,647.493942
0.912391,1,659.602382
1.067784,1,671.701936
1.143552,1,683.752203
0.0,1,695.753133
0.0,1,707.751049
0.0,1,719.847025
0.0,1,731.957343
0.0,1,744.001005
0.0,1,756.050894
0.0,1,768.121294
5.086281,1,780.202162
1.344615,1,792.241205
2.642057,1,804.339149
2.659608,1,816.445404
2.896658,1,828.694565
1.434401,1,840.809061
3.039278,1,853.043199
2.226337,1,865.213181
1.868963,1,877.568243
0.460188,1,889.633309
0.460188,1,901.831048
0.460188,1,913.947956
0.083873,1,926.158082
0.0,1,938.280086
0.0,1,950.537723
0.0,1,962.693525
0.0,1,974.949101
0.0,1,987.052949
0.0,1,999.281947
0.0,1,1011.366963
3.85616,1,1023.543815
1.56678,1,1035.621374
1.43411,1,1047.796613
1.444934,1,1059.835286
2.374155,1,1071.836115
1.555324,1,1083.810413
1.558495,1,1095.840698
1.558495,1,1107.87596
0.004895,1,1119.909948
0.0,1,1131.940334
0.0,1,1144.013194
0.0,1,1156.152117
1.1035,1,1168.232419
1.71043,1,1180.307134
1.10753,1,1192.456127
0.860421,1,1204.550694
1.677667,1,1216.67511
0.725252,1,1228.792052
0.725252,1,1241.125613
0.725252,1,1253.346822
0.949738,1,1265.597659
0.949253,1,1277.658353
0.949253,1,1289.835842
0.949253,1,1301.912257
0.826355,1,1314.073595
0.826621,1,1326.131031
0.826621,1,1338.21544
0.826621,1,1350.358294
0.001958,1,1362.482692
0.0,1,1374.527766
0.0,1,1386.620179
0.0,1,1398.690779
9.26257,1,1410.763708
0.975056,1,1422.826628
1.457058,1,1434.910209
1.59621,1,1447.015744
1.42792,1,1459.166792
1.527778,1,1471.170815
1.672331,1,1483.28801
1.329213,1,1495.330915
2.544194,1,1507.349479
1.244237,1,1519.333466
1.762254,1,1531.327609
1.492302,1,1543.364743
2.375328,1,1555.368424
1.395021,1,1567.388364
2.751997,1,1579.391598
1.487916,1,1591.418333
2.154984,1,1603.44649
0.0,1,1615.501855
0.0,1,1627.533509
0.0,1,1639.595227
3.325433,1,1651.619946
1.737428,1,1663.6736
1.737428,1,1675.750812
1.737428,1,1687.832802
1.571737,1,1699.85254
0.484384,1,1711.867642
0.484377,1,1723.960468
0.484377,1,1736.044473
0.655833,1,1748.105131
0.0,1,1760.154019
0.0,1,1772.263983
0.0,1,1784.341284
3.322182,1,1796.424569
1.774956,1,1808.464972
1.77495,1,1820.543471
1.77495,1,1832.613701
1.333233,1,1844.717472
0.0,1,1856.732714
0.0,1,1868.866199
0.0,1,1880.948108
1.988623,1,1893.121663
1.949569,1,1905.17827
1.949406,1,1917.281443
1.949406,1,1929.387274
3.219858,1,1941.515229
1.830554,1,1953.551004
3.1535,1,1965.678145
2.173446,1,1977.728708
0.817086,1,1989.81202
1.358037,1,2001.86149
1.358037,1,2013.973169
1.358037,1,2026.061711
1.792206,1,2038.259629
1.774024,1,2050.279424
1.009037,1,2062.441177
2.223553,1,2074.480876
1.251958,1,2086.533404
0.0,1,2098.593406
0.0,1,2110.756675
0.0,1,2122.899833
4.103352,1,2135.039805
1.909464,1,2147.103446
1.136431,1,2159.198109
1.285645,1,2171.231837
4.211987,1,2183.288062
1.180734,1,2195.320974
2.286369,1,2207.419691
1.547526,1,2219.50058
1.929437,1,2231.547119
0.0,1,2243.611084
0.0,1,2255.709169
0.0,1,2267.78181
2.711256,1,2279.747488
1.547678,1,2291.790152
2.173536,1,2303.859072
1.962198,1,2315.996072
2.356766,1,2328.104604
0.0,1,2340.14137
0.0,1,2352.273356
0.0,1,2364.278658
4.69098,1,2376.310851
1.168876,1,2388.367977
1.54916,1,2400.439343
1.407576,1,2412.477928
2.105533,1,2424.510679
0.0,1,2436.559921
0.0,1,2448.822292
0.0,1,2460.986238
0.006768,1,2473.249483
0.006763,1,2485.311419
0.006763,1,2497.3558
0.006763,1,2509.453904
2.511899,1,2521.462255
1.985308,1,2533.516741
1.807128,1,2545.618656
1.36066,1,2557.66835
1.328576,1,2569.727881
0.0,1,2581.804811
0.0,1,2593.908968
0.0,1,2605.975497
0.0,1,2618.094681
0.0,1,2630.172694
0.0,1,2642.276121
0.0,1,2654.309228
3.839133,1,2666.512696
1.923594,1,2678.670452
1.593537,1,2690.976791
2.252124,1,2703.153312
1.620807,1,2715.447205
0.0,1,2727.509976
0.0,1,2739.583371
0.0,1,2751.611879
0.0,1,2763.684676
0.0,1,2775.846338
0.0,1,2788.002311
0.0,1,2800.090917
1.474314,1,2812.186478
1.735152,1,2824.238136
1.735165,1,2836.289307
1.735165,1,2848.329299
0.847843,1,2860.308614
1.334343,1,2872.379803
1.805288,1,2884.423733
2.205959,1,2896.540626
1.350246,1,2908.798702
3.088637,1,2920.966131
1.546441,1,2933.263132
1.371304,1,2945.363375
0.667032,1,2957.604946
1.937201,1,2969.71191
1.647181,1,2981.842641
1.432614,1,2993.927861
2.438275,1,3005.97574
1.397236,1,3018.046875
1.148777,1,3030.119578
1.319907,1,3042.217015
1.860587,1,3054.328271
1.899965,1,3066.432181
1.232671,1,3078.521403
2.599789,1,3090.656214
1.202997,1,3102.766758
0.0,1,3114.850192
0.0,1,3126.907363
0.0,1,3139.038928
2.794248,1,3151.315313
1.243656,1,3163.400974
1.243415,1,3175.528141
1.243414,1,3187.632641
2.110323,1,3199.778486
0.908961,1,3211.863202
0.908961,1,3224.003623
0.908961,1,3236.072713
3.633367,1,3248.119837
2.920233,1,3260.172788
1.242128,1,3272.273179
2.203989,1,3284.398526
2.534849,1,3296.497338
1.214893,1,3308.521617
1.623261,1,3320.560103
1.37731,1,3332.616726
2.014113,1,3344.715538
1.624891,1,3356.801388
1.645036,1,3368.94753
1.645036,1,3381.040412
0.005444,1,3393.135132
0.0,1,3405.181477
0.0,1,3417.332654
0.0,1,3429.345353
0.0,1,3441.415228
0.0,1,3453.440885
0.0,1,3465.485407
0.0,1,3477.54733
4.194473,1,3489.634119
3.298763,1,3501.720006
2.104631,1,3513.819415
1.700123,1,3525.955924
2.212174,1,3538.033987
0.0,1,3550.116222
0.0,1,3562.296467
0.0,1,3574.417534
3.681858,1,3586.514475
1.696826,1,3598.581936
2.40168,1,3610.653223
2.237109,1,3622.7694
2.093956,1,3634.793753
1.560798,1,3646.851987
1.415897,1,3658.923491
1.165257,1,3671.000788
2.121194,1,3683.05482
0.0,1,3695.149097
0.0,1,3707.35687
0.0,1,3719.503697
3.843959,1,3731.746552
1.260029,1,3743.838363
3.006839,1,3755.905832
1.619159,1,3768.017443
0.455739,1,3780.147585
1.758641,1,3792.193665
1.75865,1,3804.319251
1.75865,1,3816.437117
0.006373,1,3828.582794
0.0,1,3840.692596
0.0,1,3852.888522
0.0,1,3865.005851
1.038183,1,3877.180783
1.036244,1,3889.269885
1.036244,1,3901.43822
1.036244,1,3913.624438
1.467491,1,3925.869163
1.771804,1,3938.053697
1.771841,1,3950.377376
1.771841,1,3962.531228
8.567564,1,3974.667861
2.279902,1,3986.753426
1.151976,1,3998.900792
1.686989,1,4011.003098
2.087917,1,4023.110138
0.0,1,4035.178817
0.0,1,4047.279458
0.0,1,4059.353458
2.391756,1,4071.421554
1.116753,1,4083.508486
1.817991,1,4095.743737
1.382271,1,4107.881569
4.411235,1,4120.073503
1.468396,1,4132.226084
3.014992,1,4144.493412
1.197038,1,4156.64791
2.320652,1,4168.759655
2.096951,1,4180.770752
1.950353,1,4192.866895
3.049891,1,4205.178014
2.021109,1,4218.169642
2.198862,1,4231.150257
1.744629,1,4244.14568
1.724476,1,4257.134799
1.087162,1,4270.11817
1.38732,1,4283.115823
1.439419,1,4296.165047
1.965079,1,4309.228579
3.181823,1,4322.27948
1.871049,1,4335.428524
1.935417,1,4348.623039
1.22272,1,4361.685883
1.199767,1,4374.79672
0.0,1,4387.7659
0.0,1,4400.771991
0.0,1,4413.757145
5.320397,1,4426.77352
2.100594,1,4439.769911
1.648986,1,4452.835153
1.175434,1,4465.862666
3.342692,1,4478.844066
1.908774,1,4491.887844
1.446458,1,4504.908456
1.589699,1,4517.959578
1.67363,1,4531.083603
0.0,1,4544.197859
0.0,1,4557.484602
0.0,1,4570.576208
4.306739,1,4583.849157
1.235396,1,4596.777572
1.584923,1,4609.084499
1.193736,1,4621.125605
4.082069,1,4633.239427
2.687052,1,4645.334138
1.836238,1,4657.44891
2.342304,1,4669.526146
1.40862,1,4681.586417
1.515532,1,4693.675426
1.179324,1,4705.828893
1.131662,1,4717.947642
1.178584,1,4730.083101
0.03378,1,4742.242886
0.03378,1,4754.380982
0.03378,1,4766.584565
2.57345,1,4778.769832
0.892292,1,4790.876652
1.094596,1,4803.015074
0.942261,1,4815.056063
0.423556,1,4827.099106
1.029709,1,4839.180207
0.617985,1,4851.218557
1.617766,1,4863.28964
0.962879,1,4875.315229
0.0,1,4887.378087
0.0,1,4899.406663
0.0,1,4911.439343
6.434124,1,4923.477852
1.659174,1,4935.617013
3.057998,1,4947.773798
1.254892,1,4959.901736
1.228778,1,4972.018759
1.579975,1,4984.180005
1.605007,1,4996.339861
2.692569,1,5008.407187
1.457907,1,5020.490672
0.637469,1,5032.607468
0.637469,1,5044.688246
0.637469,1,5056.793493
0.00142,1,5068.885151
0.0,1,5080.961504
0.0,1,5093.041721
0.0,1,5105.090763
0.062596,1,5117.144449
0.062545,1,5129.292422
0.062545,1,5141.415107
0.062545,1,5153.579182
0.55723,1,5165.820883
0.556565,1,5177.941386
0.556565,1,5190.239151
0.556565,1,5202.326448
1.210124,1,5214.652069
1.578163,1,5226.838758
1.578163,1,5239.186847
1.578163,1,5251.355137
0.761528,1,5263.606491
0.763932,1,5275.643677
0.763932,1,5287.706014
0.763932,1,5299.757234
2.754163,1,5311.83247
1.211699,1,5323.988304
1.712078,1,5336.137332
1.443949,1,5348.257966
0.943347,1,5360.390902
0.652757,1,5372.497982
0.768118,1,5384.673336
0.874811,1,5396.706901
0.777314,1,5408.746778
1.751221,1,5420.79632
0.728242,1,5432.865835
1.367746,1,5445.020842
0.147554,1,5457.251194
0.0,1,5469.361892
0.0,1,5481.51298
0.0,1,5493.608383
0.0,1,5505.816909
0.0,1,5517.921268
0.0,1,5530.051973
0.0,1,5542.154512
0.0,1,5554.344053
0.0,1,5566.448771
0.0,1,5578.623657
0.0,1,5590.720346
0.0813,1,5602.912822
0.045088,1,5615.064397
0.045088,1,5627.227987
0.045088,1,5639.33539
4.123041,1,5651.397421
1.503691,1,5663.438909
2.479279,1,5675.530391
1.71647,1,5687.590034
2.676944,1,5699.698289
1.112142,1,5711.777508
1.112142,1,5723.883471
1.112142,1,5735.992073
1.002476,1,5748.088056
1.234409,1,5760.132185
5.039182,1,5772.208894
2.486373,1,5784.253436
1.037543,1,5796.347792
0.0,1,5808.45065
0.0,1,5820.635931
0.0,1,5832.708064
3.698993,1,5844.802943
1.790954,1,5856.840945
1.537925,1,5868.855481
0.979362,1,5880.893553
1.162682,1,5892.865806
1.367243,1,5904.876628
1.389861,1,5916.844881
1.390578,1,5928.897056
11.308179,1,5941.010074
1.163031,1,5953.045751
1.204675,1,5965.203131
1.188886,1,5977.239368
1.146996,1,5989.2601
0.0,1,6001.322906
0.0,1,6013.423402
0.0,1,6025.506078
0.0,1,6037.616824
0.0,1,6049.64292
0.0,1,6061.833908
0.0,1,6073.899635
0.0,1,6086.090629
0.0,1,6098.116545
0.0,1,6110.188493
0.0,1,6122.302402
4.127565,1,6134.378891
1.16323,1,6146.446871
1.637741,1,6158.608939
1.627504,1,6170.760564
2.013823,1,6182.957794
1.411712,1,6195.087978
1.411757,1,6207.25027
1.411757,1,6219.401104
2.181457,1,6231.62191
0.434146,1,6243.704368
0.512972,1,6255.809356
0.657566,1,6267.899599
1.06931,1,6280.046804
0.0,1,6292.10815
0.0,1,6304.173129
0.0,1,6316.294359
3.028452,1,6328.391328
3.625177,1,6340.439286
0.875682,1,6352.50398
0.992527,1,6364.513381
1.670644,1,6376.533736
