#{"t_start": 1640165250.3621905, "env_id": "SwimmerEnv-v0"}
r,l,t
0.0,1,7.556423
0.0,1,19.654493
0.0,1,31.765665
0.0,1,44.002148
0.0,1,56.301917
0.0,1,68.504756
0.0,1,80.802289
0.0,1,92.87915
0.609013,1,104.998212
0.898632,1,117.140003
0.898632,1,129.304905
0.898632,1,141.419327
0.176331,1,153.579375
0.0,1,165.660653
0.0,1,177.744939
0.0,1,189.868703
0.0,1,201.977518
0.0,1,214.044025
0.0,1,226.083842
0.0,1,238.193706
4.453351,1,250.330915
3.85169,1,262.463154
1.256206,1,274.621856
1.790792,1,286.785438
1.759803,1,298.942476
1.163839,1,310.990136
1.163839,1,323.037366
1.163839,1,335.113409
3.693603,1,347.208504
1.374296,1,359.337428
1.424327,1,371.438519
1.219884,1,383.544901
1.124618,1,395.652246
0.0,1,407.75337
0.0,1,419.880178
0.0,1,431.994176
2.618616,1,444.161026
1.042317,1,456.325451
0.563715,1,468.480431
1.185663,1,480.55774
0.906624,1,492.622152
0.0,1,504.656265
0.0,1,516.662406
0.0,1,528.67867
3.7983,1,540.731413
3.296764,1,552.795046
1.337084,1,564.869266
1.458476,1,576.996984
1.682136,1,589.099565
1.254002,1,601.208912
2.413198,1,613.360074
1.327395,1,625.464963
2.568925,1,637.638534
1.295145,1,649.761674
1.302581,1,661.874072
1.448188,1,673.957879
0.827595,1,686.008837
0.715537,1,698.003221
0.715537,1,710.01042
0.715537,1,722.107841
11.471891,1,734.231046
7.913305,1,746.256734
0.244654,1,758.314189
3.053948,1,770.39176
2.7344,1,782.459868
1.301081,1,794.519099
1.304408,1,806.59745
1.304408,1,818.753886
2.085501,1,830.957293
1.660213,1,843.111635
3.266602,1,855.297746
1.420544,1,867.547668
2.6376,1,879.821639
1.351541,1,891.925932
0.827516,1,904.088449
3.219572,1,916.238876
1.777077,1,928.419278
1.601313,1,940.57863
0.939289,1,952.795249
1.233038,1,964.995233
1.224553,1,977.206335
0.0,1,989.345043
0.0,1,1001.534316
